"entity","year","records","organization_type","method","sources"
"GS Caltex","2008",11100000,"Energy","inside job","[99][100]"
"Jefferson County West Virginia","2008",1600000,"Government","accidentally published","[23][119]"
"Ministry of Education (Chile)","2008",6000000,"Government","accidentally published","[142][143]"
"Norwegian Tax Administration","2008",3950000,"Government","accidentally published","[157]"
"RBS Worldpay","2008",1500000,"Financial","hacked","[166]"
"Service Personnel and Veterans Agency (UK)","2008",50500,"Government","lost / stolen media","[175]"
"Stanford University","2008",72000,"Academic","lost / stolen computer","[23][186]"
"The Bank of New York Mellon","2008",12500000,"Financial","lost / stolen media","[37]"
"UK Home Office","2008",84000,"Government","lost / stolen media","[218]"
"UK Ministry of Defence","2008",1700000,"Government","lost / stolen media","[219]"
"University of Miami","2008",2100000,"Academic","lost / stolen computer","[23]"
"University of Utah Hospital & Clinics","2008",2200000,"Academic","lost / stolen media","[23]"
"City and Hackney Teaching Primary Care Trust","2007",160000,"Government","lost / stolen media","[51]"
"Compass Bank","2007",1000000,"Financial","inside job","[23][54]"
"Driving Standards Agency","2007",3000000,"Government","lost / stolen media","[65]"
"Fidelity National Information Services","2007",8500000,"Financial","inside job","[85]"
"Monster.com","2007",1600000,"Web","hacked","[144]"
"TD Ameritrade","2007",6300000,"Financial","hacked","[200]"
"Texas Lottery","2007",89000,"Government","inside job","[23]"
"UK Revenue & Customs","2007",25000000,"Government","lost / stolen media","[220]"
"AOL","2006",20000000,"Web","accidentally published","[17]"
"Countrywide Financial Corp","2006",2600000,"Financial","inside job","[23]"
"KDDI","2006",4000000,"Telecoms","hacked","[122]"
"T-Mobile Deutsche Telecom","2006",17000000,"Telecoms","lost / stolen media","[208]"
"Ameritrade","2005",200000,"Financial","lost / stolen media","[12]"
"Starbucks","2008",97000,"Retail","lost / stolen computer","[23]"
"Dai Nippon Printing","2007",8637405,"Retail","inside job","[59]"
"Gap Inc.","2007",800000,"Retail","lost / stolen computer","[90]"
"Hannaford Brothers Supermarket Chain","2007",4200000,"Retail","hacked","[103]"
"TK / TJ Maxx","2007",94000000,"Retail","hacked","[206][207]"
"Hewlett Packard","2006",200000,"Retail","lost / stolen media","[109]"
"Automatic Data Processing","2005",125000,"Financial","poor security","[27]"
"Bank of America","2005",1200000,"Financial","lost / stolen media","[253]"
"CardSystems Solutions Inc.","2005",40000000,"Financial","hacked","[40][41]"
"Citigroup","2005",3900000,"Financial","lost / stolen media","[48]"
"AOL","2004",92000000,"Web","inside job hacked","[15][16]"
"21st Century Oncology","2016",2200000,"Healthcare","hacked","[211][212]"
"Apple Health Medicaid","2016",91000,"Healthcare","poor security","[21]"
"Central Coast Credit Union","2016",60000,"Financial","hacked","[43]"
"Commission on Elections","2016",55000000,"Government","hacked",""
"Cox Communications","2016",40000,"Telecoms","hacked","[56]"
"Democratic National Committee","2016",19252,"Political","","[61]"
"Department of Homeland Security","2016",30000,"Government","poor security","[62][63]"
